Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,MIN,,SFO,W 24-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,MIN,@,GNB,T 29-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2018,2018-09-23,,3,,MIN,,BUF,L 6-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2018,2018-09-27,,4,,MIN,@,LAR,L 31-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-07,5,5,22.255,MIN,@,PHI,W 23-21,,0.0,1,0,1,0,0,0,0,0,0,0,0%,9,15%,0,0%,
6,2018,2018-10-14,6,6,22.262,MIN,,ARI,W 27-17,,0.0,1,0,1,0,0,0,0,0,0,0,0%,15,26%,0,0%,
7,2018,2018-10-21,7,7,22.269,MIN,@,NYJ,W 37-17,,1.0,1,0,1,1,1,0,0,0,0,0,0%,18,25%,0,0%,
8,2018,2018-10-28,,8,,MIN,,NOR,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2018,2018-11-04,9,9,22.283,MIN,,DET,W 24-9,,0.0,0,0,0,,,0,0,0,0,0,0%,6,9%,0,0%,
10,2018,2018-11-18,,11,,MIN,@,CHI,L 20-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2018,2018-11-25,,12,,MIN,,GNB,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2018,2018-12-02,,13,,MIN,@,NWE,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2018,2018-12-10,,14,,MIN,@,SEA,L 7-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2018,2018-12-16,,15,,MIN,,MIA,W 41-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2018,2018-12-23,15,16,22.332,MIN,@,DET,W 27-9,,0.0,0,0,0,,,0,0,0,0,0,0%,10,13%,0,0%,
16,2018,2018-12-30,,17,,MIN,,CHI,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2019,2019-09-08,,1,,MIN,,ATL,W 28-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2019,2019-09-15,,2,,MIN,@,GNB,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2019,2019-09-22,,3,,MIN,,OAK,W 34-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2019,2019-09-29,4,4,23.247,MIN,@,CHI,L 6-16,,,,,,,,,,,,0,0%,4,6%,1,5%,
21,2019,2019-10-06,5,5,23.254,MIN,@,NYG,W 28-10,,,,,,,,,,,,0,0%,3,4%,0,0%,
22,2019,2019-10-13,,6,,MIN,,PHI,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2019,2019-10-20,,7,,MIN,@,DET,W 42-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-10-24,8,8,23.272,MIN,,WAS,W 19-9,,,,,,,,,,,,0,0%,4,9%,0,0%,
25,2019,2019-11-03,,9,,MIN,@,KAN,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2019,2019-11-10,10,10,23.289,MIN,@,DAL,W 28-24,,,,,,,,,,,,0,0%,9,13%,5,20%,
27,2019,2019-11-17,11,11,23.296,MIN,,DEN,W 27-23,,0.0,0,1,1,0,0,0,0,0,0,0,0%,15,19%,6,21%,
28,2019,2019-12-02,,13,,MIN,@,SEA,L 30-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2019,2019-12-08,,14,,MIN,,DET,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2019,2019-12-15,,15,,MIN,@,LAC,W 39-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2019,2019-12-23,,16,,MIN,,GNB,L 10-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2019,2019-12-29,16,17,23.338,MIN,,CHI,L 19-21,,0.0,2,1,3,1,0,0,0,0,0,0,0%,38,51%,5,20%,
33,2020,2020-09-13,1,1,24.232,MIN,,GNB,L 34-43,*,0.0,2,0,2,1,0,0,0,0,0,0,0%,30,38%,0,0%,
34,2020,2020-09-20,2,2,24.239,MIN,@,IND,L 11-28,,0.0,3,2,5,1,0,0,0,0,1,0,0%,43,59%,1,4%,
35,2020,2020-09-27,3,3,24.246,MIN,,TEN,L 30-31,,0.0,1,1,2,0,1,0,0,0,0,0,0%,34,45%,8,22%,
36,2020,2020-10-04,4,4,24.253,MIN,@,HOU,W 31-23,,0.0,0,2,2,0,0,0,0,0,0,0,0%,43,66%,6,19%,
37,2020,2020-10-11,5,5,24.260,MIN,@,SEA,L 26-27,,0.0,0,2,2,0,1,0,0,0,0,0,0%,31,57%,4,16%,
38,2020,2020-10-18,6,6,24.267,MIN,,ATL,L 23-40,,0.0,2,2,4,0,0,0,0,0,0,0,0%,45,56%,8,28%,
39,2020,2020-11-01,7,8,24.281,MIN,@,GNB,W 28-22,*,0.0,1,3,4,0,0,0,0,0,0,0,0%,61,82%,2,11%,
40,2020,2020-11-08,8,9,24.288,MIN,,DET,W 34-20,*,0.0,1,3,4,0,0,0,0,0,0,0,0%,53,71%,6,20%,
41,2020,2020-11-16,9,10,24.296,MIN,@,CHI,W 19-13,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,39,78%,4,16%,
42,2020,2020-11-22,10,11,24.302,MIN,,DAL,L 28-31,*,0.0,3,3,6,0,0,0,0,0,0,0,0%,50,76%,5,19%,
43,2020,2020-11-29,11,12,24.309,MIN,,CAR,W 28-27,*,0.0,1,1,2,0,2,0,0,0,1,0,0%,53,82%,7,24%,
44,2020,2020-12-06,12,13,24.316,MIN,,JAX,W 27-24,*,0.0,0,0,0,0,0,0,0,0,0,0,0%,62,87%,6,18%,
45,2020,2020-12-13,13,14,24.323,MIN,@,TAM,L 14-26,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,29,57%,5,23%,
46,2020,2020-12-20,14,15,24.330,MIN,,CHI,L 27-33,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,44,69%,7,24%,
47,2020,2020-12-25,15,16,,MIN,@,NOR,L 33-52,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2020,2021-01-03,16,17,,MIN,@,DET,W 37-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2021,2021-09-19,2,2,25.237,NOR,@,CAR,L 7-26,,0.0,1,0,1,0,0,0,0,0,0,0,0%,12,16%,0,0%,
50,2021,2021-09-26,3,3,,NOR,@,NWE,W 28-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,2021,2021-10-03,4,4,,NOR,,NYG,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2021,2021-10-10,5,5,,NOR,@,WAS,W 33-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2021,2021-10-25,6,7,,NOR,@,SEA,W 13-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2021,2021-10-31,7,8,,NOR,,TAM,W 36-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2021,2021-11-07,8,9,,NOR,,ATL,L 25-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2021,2021-11-14,9,10,,NOR,@,TEN,L 21-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2021,2021-11-21,10,11,25.300,NOR,@,PHI,L 29-40,,0.0,2,1,3,1,0,0,0,0,0,0,0%,21,27%,0,0%,
58,2021,2021-11-25,11,12,25.304,NOR,,BUF,L 6-31,,0.0,1,0,1,1,0,0,0,0,0,0,0%,36,55%,5,23%,
59,2021,2021-12-02,12,13,25.311,NOR,,DAL,L 17-27,,0.0,1,3,4,0,0,0,0,0,1,0,0%,33,47%,5,16%,
60,2021,2021-12-12,13,14,25.321,NOR,@,NYJ,W 30-9,*,0.0,0,2,2,0,0,0,0,0,0,0,0%,43,65%,3,10%,
61,2021,2021-12-19,14,15,25.328,NOR,@,TAM,W 9-0,,0.0,2,1,3,0,0,0,0,0,0,0,0%,17,23%,0,0%,
62,2021,2021-12-27,15,16,,NOR,,MIA,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2021,2022-01-02,16,17,25.342,NOR,,CAR,W 18-10,,0.0,0,0,0,0,0,0,0,0,0,0,0%,13,21%,0,0%,
64,2021,2022-01-09,17,18,25.349,NOR,@,ATL,W 30-20,,0.0,0,0,0,0,0,0,0,0,0,0,0%,14,28%,0,0%,
65,2022,2022-10-09,5,5,,CHI,@,MIN,L 22-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,2022,2022-10-13,6,6,,CHI,,WAS,L 7-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2022,2022-10-24,7,7,,CHI,@,NWE,W 33-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,2022,2022-10-30,8,8,,CHI,@,DAL,L 29-49,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,2022,2022-11-06,9,9,,CHI,,MIA,L 32-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,2022,2022-11-13,10,10,,CHI,,DET,L 30-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,2022,2022-11-20,11,11,,CHI,@,ATL,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,2022,2022-11-27,12,12,,CHI,@,NYJ,L 10-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,2022,2022-12-04,13,13,,CHI,,GNB,L 19-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,2022,2022-12-18,14,15,,CHI,,PHI,L 20-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,2022,2022-12-24,15,16,,CHI,,BUF,L 13-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,2022,2023-01-01,16,17,,CHI,@,DET,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
77,2022,2023-01-08,17,18,26.348,CHI,,MIN,L 13-29,,0.0,1,2,3,0,0,0,0,0,0,0,0%,34,48%,0,0%,
78,2023,2023-09-11,1,1,,NYJ,,BUF,W 22-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,2023,2023-09-17,2,2,,NYJ,@,DAL,L 10-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,2023,2023-09-24,3,3,,NYJ,,NWE,L 10-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,2023,2023-10-01,4,4,,NYJ,,KAN,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,2023,2023-10-08,5,5,,NYJ,@,DEN,W 31-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
83,2023,2023-11-06,8,9,,NYJ,,LAC,L 6-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
84,2023,2023-11-12,9,10,,NYJ,@,LVR,L 12-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,2023,2023-11-19,10,11,,NYJ,@,BUF,L 6-32,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2023,2023-11-24,11,12,,NYJ,,MIA,L 13-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2023,2023-12-03,12,13,,NYJ,,ATL,L 8-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2023,2023-12-10,13,14,27.319,NYJ,,HOU,W 30-6,,0.0,0,1,1,0,0,0,0,0,0,0,0%,13,23%,0,0%,
89,2023,2023-12-17,14,15,27.326,NYJ,@,MIA,L 0-30,,0.0,0,0,0,0,0,0,0,0,0,0,0%,24,39%,5,21%,
90,2023,2023-12-24,15,16,27.333,NYJ,,WAS,W 30-28,,0.0,2,0,2,0,0,0,0,0,0,0,0%,14,23%,4,11%,
91,2023,2023-12-28,16,17,27.337,NYJ,@,CLE,L 20-37,,0.0,0,1,1,0,0,0,0,0,0,0,0%,17,28%,6,20%,
92,2023,2024-01-07,17,18,27.347,NYJ,@,NWE,W 17-3,,1.0,1,0,1,1,1,0,0,0,0,0,0%,13,23%,1,4%,
93,2024,2024-09-09,1,1,28.228,NYJ,@,SFO,L 19-32,,0.0,1,2,3,1,0,0,0,0,0,0,0%,16,22%,2,8%,
94,2024,2024-09-15,2,2,28.234,NYJ,@,TEN,W 24-17,,0.0,0,1,1,0,0,0,0,0,0,0,0%,15,23%,1,4%,
95,2024,2024-09-19,3,3,28.238,NYJ,,NWE,W 24-3,,0.0,0,0,0,0,1,0,0,0,0,0,0%,19,37%,2,10%,
96,2024,2024-09-29,4,4,28.248,NYJ,,DEN,L 9-10,,,,,,,,,,,,0,0%,27,44%,1,4%,
97,2024,2024-10-06,5,5,28.255,NYJ,@,MIN,L 17-23,,,,,,,,,,,,0,0%,26,36%,5,17%,
98,2024,2024-10-14,6,6,,NYJ,,BUF,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2024,2024-10-20,7,7,28.269,WAS,,CAR,W 40-7,,0.0,1,0,1,0,0,0,0,0,0,0,0%,16,37%,0,0%,
100,2024,2024-10-27,8,8,28.276,WAS,,CHI,W 18-15,,1.0,1,0,1,1,1,0,0,0,0,0,0%,11,17%,0,0%,
101,2024,2024-11-03,9,9,28.283,WAS,@,NYG,W 27-22,,0.0,0,1,1,0,0,0,0,0,0,0,0%,14,22%,0,0%,
102,2024,2024-11-10,10,10,28.290,WAS,,PIT,L 27-28,,0.0,2,0,2,0,0,0,0,0,0,0,0%,17,22%,0,0%,
103,2024,2024-11-14,11,11,28.294,WAS,@,PHI,L 18-26,,0.0,1,1,2,1,0,0,0,0,0,0,0%,19,27%,0,0%,
