Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,DAL,,TAM,L 3-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,DAL,,CIN,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-26,3,3,,DAL,@,NYG,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2022,2022-10-02,4,4,,DAL,,WAS,W 25-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2022,2022-10-09,5,5,,DAL,@,LAR,W 22-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2022,2022-10-16,6,6,,DAL,@,PHI,L 17-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2022,2022-10-23,7,7,,DAL,,DET,W 24-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2022,2022-10-30,8,8,,DAL,,CHI,W 49-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2022,2022-11-13,9,10,,DAL,@,GNB,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2022,2022-11-20,10,11,,DAL,@,MIN,W 40-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2022,2022-11-24,11,12,,DAL,,NYG,W 28-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2022,2022-12-04,12,13,,DAL,,IND,W 54-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2022,2022-12-11,13,14,,DAL,,HOU,W 27-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-12-18,14,15,,DAL,@,JAX,L 34-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,DAL,,PHI,W 40-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2022-12-29,16,17,,DAL,@,TEN,W 27-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2022,2023-01-08,17,18,,DAL,@,WAS,L 6-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2023,2023-09-10,1,1,23.078,DAL,@,NYG,W 40-0,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,59%,14,58%,
19,2023,2023-09-17,2,2,23.085,DAL,,NYJ,W 30-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,34%,22,79%,
20,2023,2023-09-24,3,3,23.092,DAL,@,ARI,L 16-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,21,84%,
21,2023,2023-10-01,4,4,23.099,DAL,,NWE,W 38-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,24%,19,73%,
22,2023,2023-10-08,5,5,23.106,DAL,@,SFO,L 10-42,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,9,13%,25,93%,
23,2023,2023-10-16,6,6,,DAL,@,LAC,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2023,2023-10-29,7,8,23.127,DAL,,LAR,W 43-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,3,5%,23,77%,
25,2023,2023-11-05,8,9,23.134,DAL,@,PHI,L 23-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,21,88%,
26,2023,2023-11-12,9,10,23.141,DAL,,NYG,W 49-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,16,28%,19,61%,
27,2023,2023-11-19,10,11,23.148,DAL,@,CAR,W 33-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,12%,20,74%,
28,2023,2023-11-23,11,12,23.152,DAL,,WAS,W 45-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,27,35%,19,76%,
29,2023,2023-11-30,12,13,23.159,DAL,,SEA,W 41-35,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,3,4%,21,75%,
30,2023,2023-12-10,13,14,23.169,DAL,,PHI,W 33-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,3,5%,18,72%,
31,2023,2023-12-17,14,15,23.176,DAL,@,BUF,L 10-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,40,59%,15,63%,
32,2023,2023-12-24,15,16,23.183,DAL,@,MIA,L 20-22,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,22,85%,
33,2023,2023-12-30,16,17,23.189,DAL,,DET,W 20-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,22,85%,
34,2023,2024-01-07,17,18,23.197,DAL,@,WAS,W 38-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,6%,14,64%,
35,2024,2024-09-08,1,1,24.076,DAL,@,CLE,W 33-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,28,78%,
36,2024,2024-09-15,2,2,24.083,DAL,,NOR,L 19-44,,0,0,0,,0,0.0%,,4,86,21.50,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,8%,22,81%,
37,2024,2024-09-22,3,3,24.090,DAL,,BAL,L 25-28,,0,0,0,,0,0.0%,,2,58,29.00,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,90%,
38,2024,2024-09-26,4,4,24.094,DAL,@,NYG,W 20-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,3,4%,20,80%,
39,2024,2024-10-06,5,5,24.104,DAL,@,PIT,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,18,75%,
40,2024,2024-10-13,6,6,24.111,DAL,,DET,L 9-47,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0%,12,18%,25,90%,
41,2024,2024-10-27,7,8,24.125,DAL,@,SFO,L 24-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,26,87%,
42,2024,2024-11-03,8,9,24.132,DAL,@,ATL,L 21-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,17,65%,
43,2024,2024-11-10,9,10,,DAL,,PHI,L 6-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2024,2024-11-18,10,11,24.147,DAL,,HOU,L 10-34,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,6,9%,23,85%,
